x,y,z,color
0.03194315,0.739466,-0.184405,1
0.07122047,0.74115723,-0.413269,0
0.031763498,0.9365531,0.017766,1
0.071158335,0.9330852,0.0378023,1
0.11652882,0.9291359,0.0610528,1
0.17134699,0.9243846,0.089050904,1
0.25757316,0.91670215,0.133,1
0.3609757,0.90754914,0.1862,1
0.4985563,0.8955775,0.25620002,1
0.65566343,0.8819639,0.33720002,1
0.8188326,0.86756235,0.4174,1
1.0189666,0.8496392,0.5312,0
0.03203164,0.006860528,0.0817538,1
0.07278418,0.006149734,0.183473,1
0.116566405,0.0054999925,0.292739,1
0.17242858,0.004671293,0.432134,1
0.2594354,0.003352559,0.6492,1
0.35624826,0.0018859515,0.891,0
0.033033874,0.02470919,0.0785072,1
0.071992435,0.024198383,0.168979,1
0.11603554,0.02362839,0.271209,1
0.1715713,0.022886759,0.400074,1
0.26110837,0.021733185,0.60840005,1
0.3619597,0.020462764,0.84220004,0
0.032460388,-0.84798604,0.052643,1
0.07234881,-0.84673625,0.115232006,1
0.11496478,-0.84556353,0.182125,1
0.17130813,-0.84408027,0.27063102,1
0.25980082,-0.8416656,0.40960002,0
0.031825595,0.93241924,0.040029597,1
0.07163255,0.93490326,0.087869,1
0.11599914,0.9376936,0.141198,1
0.17138432,0.9410032,0.20775999,1
0.25604433,0.94606096,0.3096,1
0.36262503,0.952571,0.43739998,1
0.50138867,0.9610676,0.6042,1
0.661579,0.9708403,0.7982,1
0.82382065,0.9806056,0.9922,0
0.03144633,0.8637708,0.068169,1
0.071326874,0.8601554,0.152593,1
0.11677287,0.8562114,0.248849,1
0.17285585,0.8516525,0.36760598,1
0.26142243,0.84457594,0.55579996,1
0.3581276,0.83704424,0.7618,1
0.49989286,0.82600224,1.0634,0
0.031560477,0.13496138,0.0596134,1
0.072975546,0.1376411,0.135646,1
0.11597319,0.14037782,0.21452299,1
0.17153181,0.14399411,0.316316,1
0.25621882,0.1494343,0.4718,1
0.36071113,0.15585984,0.6638,1
0.49791571,0.16412733,0.916,0
0.03197286,0.5914704,-0.012907799,1
0.0724404,0.58816195,-0.0313778,1
0.116931885,0.5844984,-0.0517494,1
0.17151943,0.5800733,-0.0766674,1
0.25826755,0.57306206,-0.1162,1
0.36365014,0.5647297,-0.1646,1
0.5020831,0.55367035,-0.2282,1
0.65908015,0.54103506,-0.3012,1
0.82256496,0.5276523,-0.37420002,1
1.0208654,0.51123196,-0.4772,0
0.031854335,-0.3193724,0.0224793,1
0.07115373,-0.31654236,0.0480396,1
0.115664765,-0.3134744,0.07698169,1
0.17151421,-0.30945235,0.113281995,1
0.25907165,-0.30281955,0.17060001,1
0.3630532,-0.29527456,0.2378,1
0.5009777,-0.2853903,0.3276,1
0.6588907,-0.27393132,0.43060002,1
0.81699264,-0.26238918,0.5312,1
1.016534,-0.24768394,0.6724,0
0.032010503,-0.2898774,-0.00676165,1
0.07241068,-0.2860095,-0.017565701,1
0.11593207,-0.28176725,-0.0291306,1
0.1728159,-0.27610764,-0.044170897,1
0.25945932,-0.26775813,-0.0676,1
0.36033875,-0.25809923,-0.094,1
0.49822393,-0.24477106,-0.1312,1
0.660353,-0.22929874,-0.1742,1
0.8194718,-0.21386349,-0.2195,1
1.016863,-0.19430818,-0.2712,0
0.03194282,0.23935315,0.239841,0
0.03203683,-0.49248302,-0.015291099,1
0.073132865,-0.49067757,-0.0371653,1
0.116707966,-0.4888992,-0.060348,1
0.17089891,-0.48680037,-0.089147106,1
0.25755826,-0.48344517,-0.1348,1
0.3619812,-0.47942153,-0.191,1
0.49853134,-0.47422647,-0.264,1
0.65635616,-0.46824157,-0.348,1
0.8201002,-0.46207452,-0.439,1
1.0182463,-0.45447522,-0.542,0
0.03145698,-0.75726527,0.0353114,1
0.07166748,-0.7554439,0.0781984,1
0.11642181,-0.75321764,0.125911,1
0.17133722,-0.75058985,0.184511,1
0.25646824,-0.7465045,0.27539998,0
0.032148242,-0.83490455,0.021089701,1
0.07150796,-0.8353097,0.0447607,1
0.116754,-0.8357985,0.0719941,1
0.17249332,-0.8364129,0.10553,1
0.2571881,-0.83732635,0.1564,1
0.3616461,-0.8384414,0.2192,1
0.49705395,-0.8399128,0.3006,1
0.65913063,-0.8416189,0.3982,1
0.81788737,-0.8432708,0.4934,1
1.023137,-0.84542584,0.61259997,0
0.0321089,0.015262345,0.0960642,1
0.072808415,0.016383346,0.215474,1
0.1158423,0.017463662,0.341713,0
0.2580207,0.020913374,0.75879997,1
0.36252683,0.023491707,1.0648,0
0.03248578,0.67333657,0.097777605,1
0.071751595,0.6765408,0.21392101,1
0.115417086,0.6801501,0.343132,0
0.2641577,0.69287664,0.78459996,1
0.3623214,0.7009891,1.0774,0
0.031680226,0.692785,0.0659192,1
0.07109179,0.68963677,0.14564799,1
0.11568097,0.68607384,0.235986,0
0.032629713,-0.8337619,0.260605,0
0.031517513,0.37948138,0.0259527,1
0.07109047,0.37730372,0.0562951,1
0.115844436,0.37416038,0.0904973,1
0.17236984,0.37025496,0.133725,1
0.2602817,0.36385268,0.2014,1
0.35601267,0.3568581,0.2748,1
0.50152576,0.3462604,0.3868,1
0.6561979,0.33507034,0.5068,1
