epoch,batch,loss,duration
1, 1, 0.691034, 32.975895
1, 2, 0.687461, 35.369207
1, 3, 0.685034, 42.012942
1, 4, 0.684825, 13.869237
1, 5, 0.677847, 31.006012
1, 6, 0.668572, 45.341880
1, 7, 0.666273, 18.538037
1, 8, 0.660051, 19.380160
1, 9, 0.653611, 19.300800
1, 10, 0.649486, 27.253904
1, 11, 0.634507, 23.575444
1, 12, 0.623681, 27.912412
1, 13, 0.621211, 42.154299
1, 14, 0.619578, 47.199491
1, 15, 0.606298, 28.159913
1, 16, 0.592594, 23.940137
1, 17, 0.646238, 20.299302
1, 18, 0.594451, 36.212324
1, 19, 0.589213, 46.155655
1, 20, 0.594512, 26.672968
1, 21, 0.577310, 26.985990
1, 22, 0.587168, 40.400867
1, 23, 0.583085, 26.288525
1, 24, 0.571932, 27.159834
1, 25, 0.565226, 20.514124
1, 26, 0.568146, 32.607969
1, 27, 0.570337, 20.371237
1, 28, 0.560541, 26.387039
1, 29, 0.553345, 25.608674
1, 30, 0.553094, 24.382078
1, 31, 0.561117, 36.812441
1, 32, 0.554585, 25.695464
1, 33, 0.543989, 20.264880
1, 34, 0.546874, 34.960254
1, 35, 0.544662, 33.721432
1, 36, 0.541157, 35.284808
1, 37, 0.541363, 26.629557
1, 38, 0.533837, 17.236668
1, 39, 0.526341, 22.404729
1, 40, 0.530977, 20.920310
1, 41, 0.541514, 34.234052
1, 42, 0.540197, 35.943956
1, 43, 0.534927, 40.686013
1, 44, 0.532172, 40.121016
1, 45, 0.545026, 36.023238
1, 46, 0.524254, 28.961889
1, 47, 0.528108, 18.480404
1, 48, 0.523780, 24.299109
1, 49, 0.509625, 23.946108
1, 50, 0.512574, 21.827037
2, 1, 0.529820, 25.104657
2, 2, 0.488928, 19.356770
2, 3, 0.544124, 34.491727
2, 4, 0.519805, 34.115349
2, 5, 0.512255, 24.904069
2, 6, 0.527658, 24.906360
2, 7, 0.529174, 19.366396
2, 8, 0.491197, 19.467515
2, 9, 0.501644, 24.508153
2, 10, 0.510849, 42.906275
2, 11, 0.508706, 29.728383
2, 12, 0.528010, 48.386890
2, 13, 0.510098, 27.490855
2, 14, 0.524341, 26.125838
2, 15, 0.509703, 35.648566
2, 16, 0.501465, 37.497188
2, 17, 0.503422, 31.395311
2, 18, 0.510721, 31.678249
2, 19, 0.517965, 37.584275
2, 20, 0.489329, 26.327194
2, 21, 0.511517, 38.233916
2, 22, 0.500266, 25.292559
2, 23, 0.506769, 36.961702
2, 24, 0.510301, 34.145883
2, 25, 0.480289, 21.244153
2, 26, 0.507767, 27.339728
2, 27, 0.476942, 20.560741
2, 28, 0.508891, 42.660934
2, 29, 0.496834, 20.458017
2, 30, 0.521508, 39.884357
2, 31, 0.479840, 19.806570
2, 32, 0.482272, 19.245249
